start_time,end_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,vertical_scan,horizontal_scan,label
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180272,2.4e-05,172.31.0.1,172.31.0.2,245,51072,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180296,2.4e-05,172.31.0.1,172.31.0.2,4500,56588,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180320,2.4e-05,172.31.0.1,172.31.0.2,1020,50330,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180343,2.3e-05,172.31.0.1,172.31.0.2,4958,57422,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180368,2.5e-05,172.31.0.1,172.31.0.2,4920,54408,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180392,2.4e-05,172.31.0.1,172.31.0.2,2457,50040,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180414,2.2e-05,172.31.0.1,172.31.0.2,1841,43186,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180438,2.4e-05,172.31.0.1,172.31.0.2,1169,57396,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180462,2.4e-05,172.31.0.1,172.31.0.2,3177,41532,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180487,2.5e-05,172.31.0.1,172.31.0.2,1488,48126,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180511,2.4e-05,172.31.0.1,172.31.0.2,2372,42092,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180534,2.3e-05,172.31.0.1,172.31.0.2,3321,49772,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180560,2.6e-05,172.31.0.1,172.31.0.2,4952,42186,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180584,2.4e-05,172.31.0.1,172.31.0.2,3235,43708,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180608,2.4e-05,172.31.0.1,172.31.0.2,2459,38974,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180634,2.6e-05,172.31.0.1,172.31.0.2,1831,47588,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180658,2.4e-05,172.31.0.1,172.31.0.2,2891,40438,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180688,3e-05,172.31.0.1,172.31.0.2,2967,52824,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180711,2.3e-05,172.31.0.1,172.31.0.2,4878,58258,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180735,2.4e-05,172.31.0.1,172.31.0.2,3111,50348,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180760,2.5e-05,172.31.0.1,172.31.0.2,1685,47800,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180784,2.4e-05,172.31.0.1,172.31.0.2,1323,48940,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180809,2.5e-05,172.31.0.1,172.31.0.2,480,41292,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180837,2.8e-05,172.31.0.1,172.31.0.2,3155,39834,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180862,2.5e-05,172.31.0.1,172.31.0.2,2528,59232,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180887,2.5e-05,172.31.0.1,172.31.0.2,1457,57138,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180909,2.2e-05,172.31.0.1,172.31.0.2,1140,37352,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180934,2.5e-05,172.31.0.1,172.31.0.2,4947,43196,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180959,2.5e-05,172.31.0.1,172.31.0.2,4824,46284,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180983,2.4e-05,172.31.0.1,172.31.0.2,2059,41886,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181006,2.3e-05,172.31.0.1,172.31.0.2,4682,55000,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181032,2.6e-05,172.31.0.1,172.31.0.2,2956,52236,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181054,2.2e-05,172.31.0.1,172.31.0.2,681,60178,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181079,2.5e-05,172.31.0.1,172.31.0.2,4491,55216,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181104,2.5e-05,172.31.0.1,172.31.0.2,1303,60530,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181128,2.4e-05,172.31.0.1,172.31.0.2,3333,44374,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181152,2.4e-05,172.31.0.1,172.31.0.2,274,52808,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181177,2.5e-05,172.31.0.1,172.31.0.2,2737,50512,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181201,2.4e-05,172.31.0.1,172.31.0.2,133,44644,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181226,2.5e-05,172.31.0.1,172.31.0.2,3534,57504,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181250,2.4e-05,172.31.0.1,172.31.0.2,1998,52120,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181422,0.000172,172.31.0.1,172.31.0.2,491,59728,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181448,2.6e-05,172.31.0.1,172.31.0.2,2304,36376,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181491,4.3e-05,172.31.0.2,172.31.0.1,57828,1234,0,1,0,0,0,0,0,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181528,3.7e-05,172.31.0.1,172.31.0.2,816,51194,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181564,3.6e-05,172.31.0.1,172.31.0.2,4036,39754,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181598,3.4e-05,172.31.0.1,172.31.0.2,4084,50948,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181630,3.2e-05,172.31.0.1,172.31.0.2,4933,56064,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181664,3.4e-05,172.31.0.1,172.31.0.2,4895,44062,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181695,3.1e-05,172.31.0.1,172.31.0.2,2426,46472,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.181727,3.2e-05,172.31.0.1,172.31.0.2,2328,58540,0,1,0,1,0,0,1,0,1
